cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
18,Nayarit,0,Estatal,1001000001,Superficie continental,2020,27856.47459101,Kilómetros cuadrados
18,Nayarit,0,Estatal,1002000001,Población total,1910,171173,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1921,163183,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1930,167724,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1940,216698,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1950,290124,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1960,389929,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1970,544031,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1980,726120,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1990,824643,Personas
18,Nayarit,0,Estatal,1002000001,Población total,1995,896702,Personas
18,Nayarit,0,Estatal,1002000001,Población total,2000,920185,Personas
18,Nayarit,0,Estatal,1002000001,Población total,2005,949684,Personas
18,Nayarit,0,Estatal,1002000001,Población total,2010,1084979,Personas
18,Nayarit,0,Estatal,1002000001,Población total,2015,1188671,Personas
18,Nayarit,0,Estatal,1002000001,Población total,2020,1235456,Personas
18,Nayarit,0,Estatal,1002000002,Población total hombres,1995,448629,Personas
18,Nayarit,0,Estatal,1002000002,Población total hombres,2000,456105,Personas
18,Nayarit,0,Estatal,1002000002,Población total hombres,2005,469204,Personas
18,Nayarit,0,Estatal,1002000002,Población total hombres,2010,541007,Personas
18,Nayarit,0,Estatal,1002000002,Población total hombres,2020,612278,Personas
18,Nayarit,0,Estatal,1002000003,Población total mujeres,1995,448073,Personas
18,Nayarit,0,Estatal,1002000003,Población total mujeres,2000,464080,Personas
18,Nayarit,0,Estatal,1002000003,Población total mujeres,2005,480480,Personas
18,Nayarit,0,Estatal,1002000003,Población total mujeres,2010,543972,Personas
18,Nayarit,0,Estatal,1002000003,Población total mujeres,2020,623178,Personas
18,Nayarit,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,28.6,No especificada
18,Nayarit,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,27.5,No especificada
18,Nayarit,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,26.4,No especificada
18,Nayarit,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,26.5,No especificada
18,Nayarit,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,25.5246602599382,No especificada
18,Nayarit,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,23.8435438082522,No especificada
18,Nayarit,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,28.2,No especificada
18,Nayarit,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,26.9,No especificada
18,Nayarit,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,25.9,No especificada
